Topic,English,Mandarin,Pinyin,URL
Measure and Compare,How long do you watch TV every day?,你每天看多长时间电视？,nǐměitiānkānduōchángshíjiāndiànshì,https://www.chinese-tools.com/phrasebook/20-compare.html
Measure and Compare,How often do you go swimming?,你多久去游一次泳？,nǐduōjiǔqùyóuyīcìyǒng,https://www.chinese-tools.com/phrasebook/20-compare.html
Ask questions,Where are you going?,你去哪儿？,nǐqùnǎér,https://www.chinese-tools.com/phrasebook/19-questions.html
Ask questions,Where did you go for dinner yesterday?,你们昨天去哪儿吃的饭？,nǐmenzuótiānqùnǎérchīdefàn,https://www.chinese-tools.com/phrasebook/19-questions.html
Ask questions,When will he come to see you?,他什么时候来看你？,tāshénmashíhòuláikānnǐ,https://www.chinese-tools.com/phrasebook/19-questions.html
Ask questions,When did you buy the car?,你什么时候买的车？,nǐshénmashíhòumǎidechē,https://www.chinese-tools.com/phrasebook/19-questions.html
Ask questions,Who told you?,谁告诉你的？,shéigàosùnǐde,https://www.chinese-tools.com/phrasebook/19-questions.html
Ask questions,Who will accompany you to the airport?.,谁将陪你去机场？,shéijiāngpéinǐqùjīcháng,https://www.chinese-tools.com/phrasebook/19-questions.html
Ask questions,Why don't you agree?,你为什么不同意？,nǐwéishénmabútóngyì,https://www.chinese-tools.com/phrasebook/19-questions.html
Ask questions,Why not go out for a walk?,干吗不出去散步？,gānmábúchūqùsǎnbù,https://www.chinese-tools.com/phrasebook/19-questions.html
Ask questions,How did you doing spend your holiday?,你假期怎么过的？,nǐjiǎjīzěnmaguōde,https://www.chinese-tools.com/phrasebook/19-questions.html
Ask questions,How are you doing these days?,这些日子你怎么样？,zhèxiērìzǐnǐzěnmayàng,https://www.chinese-tools.com/phrasebook/19-questions.html
Ask questions,What did he say in the letter?,他在信里说什么了？,tāzàixìnlǐshuìshénmale,https://www.chinese-tools.com/phrasebook/19-questions.html
Ask questions,What are you going to do with the books?,你打算拿这些书怎么办？,nǐdásuànnázhèxiēshūzěnmabàn,https://www.chinese-tools.com/phrasebook/19-questions.html
Ask questions,What were you doing when I called?,我打电话给你时你在干吗？,wǒdádiànhuàgěinǐshínǐzàigānmá,https://www.chinese-tools.com/phrasebook/19-questions.html
Ask questions,I was about to leave.,我正要出门。,wǒzhēngyāochūmén,https://www.chinese-tools.com/phrasebook/19-questions.html
Ask questions,Can you guess what I was doing this morning?,你能猜到今天上午我在做什么吗？,nǐnéngcāidàojīntiānshàngwǔwǒzàizuòshénmamá,https://www.chinese-tools.com/phrasebook/19-questions.html
Where do you live?,"Hi, Jack, where do you live now?",你好，杰克，你现在住哪儿？,nǐhǎo jiékè nǐxiànzàizhùnǎér,https://www.chinese-tools.com/phrasebook/18-address.html
Where do you live?,I live at 203 Curzon Street.,我住在可胜街23号。,wǒzhùzàikěshēngjiē lueháo,https://www.chinese-tools.com/phrasebook/18-address.html
Where do you live?,Curzon Street? Isn't Mary living there?,可胜街？玛丽不是也住那儿吗？,kěshēngjiē mǎlíbúshìyězhùnāérmá,https://www.chinese-tools.com/phrasebook/18-address.html
Where do you live?,"Yes, she lives just across the street.",是的，她就住在街对面。,shìde tājiùzhùzàijiēduìmiàn,https://www.chinese-tools.com/phrasebook/18-address.html
Where do you live?,How long have you stayed there?,你在那儿住多久了？,nǐzàināérzhùduōjiǔle,https://www.chinese-tools.com/phrasebook/18-address.html
Where do you live?,Just a few months.,才几个月。,cáijīgěyuè,https://www.chinese-tools.com/phrasebook/18-address.html
Where do you live?,How about Mary? How long has she lived there?,玛丽怎么样？她在那儿住多久了？,mǎlízěnmayàng tāzàināérzhùduōjiǔle,https://www.chinese-tools.com/phrasebook/18-address.html
Where do you live?,She's been living there since her birth.,她生下来就住那儿。,tāshēngxiàláijiùzhùnāér,https://www.chinese-tools.com/phrasebook/18-address.html
Where do you live?,Will you stay there for long?,你会在那儿待很长时间吗？,nǐhuìzàināérdāihěnchángshíjiānmá,https://www.chinese-tools.com/phrasebook/18-address.html
Where do you live?,"No, I'll move to Hollywood next month.",不，我下个月搬到好莱坞去。,bú wǒxiàgěyuèbāndàohǎoláiwùqù,https://www.chinese-tools.com/phrasebook/18-address.html
Where do you live?,"Oh, really? I'm moving there too.",真的？我也会搬到那儿去。,zhēnde wǒyěhuìbāndàonāérqù,https://www.chinese-tools.com/phrasebook/18-address.html
Where do you live?,Great. Then we can drink beer together.,棒极了，我们可以一起喝啤酒了。,bàngjíle wǒmenkěyǐyīqǐhēpíjiǔle,https://www.chinese-tools.com/phrasebook/18-address.html
Where do you live?,"Yes, and you may stay there longer.",对，而且你也许会在那儿住久一些。,duì érjūnǐyěxǔhuìzàināérzhùjiǔyīxiē,https://www.chinese-tools.com/phrasebook/18-address.html
Where do you live?,I hope so.,希望如此。,xīwàngrúcǐ,https://www.chinese-tools.com/phrasebook/18-address.html
Where do you live?,I'm sure we'll have a good time.,我相信我们会很开心的。,wǒxiāngxìnwǒmenhuìhěnkāixīnde,https://www.chinese-tools.com/phrasebook/18-address.html
The past,I used to take a walk in the early morning.,我过去常一大早出去散步。,wǒguōqùchángyīdàzǎochūqùsǎnbù,https://www.chinese-tools.com/phrasebook/17-past.html
The past,He used to live in my neighborhood.,他曾与我是邻居。,tācéngyúwǒshìlínjū,https://www.chinese-tools.com/phrasebook/17-past.html
The past,Did you use to go fishing with friends?,过去你常和朋友钓鱼吗？,guōqùnǐchánghépéngyǒudiàoyúmá,https://www.chinese-tools.com/phrasebook/17-past.html
The past,We have known each other for 6 years.,我们认识有六年了。,wǒmenrènshíyǒuliùniánle,https://www.chinese-tools.com/phrasebook/17-past.html
The past,It has been a long time since last came here.,自从我上次来这里已经有很长时间了。,zìcōngwǒshàngcìláizhèlǐyǐjīngyǒuhěnchángshíjiānle,https://www.chinese-tools.com/phrasebook/17-past.html
The past,Have you seen Mr. Smith recently?,最近你见过史密斯先生吗？,zuìjìnnǐjiànguōshǐmìsīxiānshēngmá,https://www.chinese-tools.com/phrasebook/17-past.html
The past,They've been working on this project since last year.,他们从去年开始一直都在做这个项目。,tāmencōngqùniánkāishǐyīzhídōuzàizuòzhègěxiàngmù,https://www.chinese-tools.com/phrasebook/17-past.html
The past,I've been watching TV all night.,我看了一整晚的电视。,wǒkānleyīzhěngwǎndediànshì,https://www.chinese-tools.com/phrasebook/17-past.html
The past,The movie began as soon as we got there.,我们一到那儿电影就开始了。,wǒmenyīdàonāérdiànyǐngjiùkāishǐle,https://www.chinese-tools.com/phrasebook/17-past.html
The past,"When I arrived at the station, the train had already left.",我到车站时，火车已经开了。,wǒdàochēzhànshí huǒchēyǐjīngkāile,https://www.chinese-tools.com/phrasebook/17-past.html
The past,The late arrival of the ship had messed up all our plans.,船到晚了，把我们的计划全打乱了。,chuándàowǎnle bǎwǒmendejìhuáquándáluànle,https://www.chinese-tools.com/phrasebook/17-past.html
The past,I had thought he knew the time of the meeting.,我原以为他知道开会时间。,wǒyuányǐwéitāzhīdàokāihuìshíjiān,https://www.chinese-tools.com/phrasebook/17-past.html
The past,They had excepted me to go with them.,他们原本希望我和他们一起去。,tāmenyuánběnxīwàngwǒhétāmenyīqǐqù,https://www.chinese-tools.com/phrasebook/17-past.html
The past,That was the third time that I had visited the place.,那是我第三次参观那地方了。,nāshìwǒdìsāncìcānguānnādefāngle,https://www.chinese-tools.com/phrasebook/17-past.html
The past,"After I had finished my paper, I put it in the drawer.",我写完论文，就把它放在抽屉了。,wǒxiěwánlúnwén jiùbǎtāfàngzàichōutìle,https://www.chinese-tools.com/phrasebook/17-past.html
Friends,"Hi, Joe, is it really you?",乔，你好，真是你吗？,qiáo nǐhǎo zhēnshìnǐmá,https://www.chinese-tools.com/phrasebook/16-friends.html
Friends,"Hi, Ann. Nice to see you again.",安，你好。真高兴再次见到你。,ān nǐhǎo zhēngāoxīngzàicìjiàndàonǐ,https://www.chinese-tools.com/phrasebook/16-friends.html
Friends,It's been a whole year since I last saw you.,我整整一年没见你了。,wǒzhěngzhěngyīniánméijiànnǐle,https://www.chinese-tools.com/phrasebook/16-friends.html
Friends,"Yes, but you look as pretty now, as you did then.",但你看起来还是那么漂亮。,dànnǐkānqǐláiháishìnāmapiāoliàng,https://www.chinese-tools.com/phrasebook/16-friends.html
Friends,"Oh, thank you. How have you been these days?",欧，谢谢。这段时间你好吗？,ōu xièxiè zhèduànshíjiānnǐhǎomá,https://www.chinese-tools.com/phrasebook/16-friends.html
Friends,Not too bad.,不太糟。,bútàizāo,https://www.chinese-tools.com/phrasebook/16-friends.html
Friends,But you sound so sad.,但听起来你很悲伤。,dàntīngqǐláinǐhěnbēishāng,https://www.chinese-tools.com/phrasebook/16-friends.html
Friends,"Yes, I lost my pet cat yesterday.",是啊，昨天我的宠物猫丢了。,shìā zuótiānwǒdechǒngwùmāodiūle,https://www.chinese-tools.com/phrasebook/16-friends.html
Friends,"Oh, I'm sorry to hear that",听到这消息我很遗憾。,tīngdàozhèxiāoxīwǒhěnwèihàn,https://www.chinese-tools.com/phrasebook/16-friends.html
Friends,That's all right.,没事儿。,méishìér,https://www.chinese-tools.com/phrasebook/16-friends.html
Friends,Have you seen Kate lately?,最近你看见凯特了吗？,zuìjìnnǐkānjiànkǎitèlemá,https://www.chinese-tools.com/phrasebook/16-friends.html
Friends,"No, I have no contact with her.",没有。我和她没有一点儿联系。,méiyǒu wǒhétāméiyǒuyīdiǎnérliánjì,https://www.chinese-tools.com/phrasebook/16-friends.html
Friends,I heard she got married last week.,我躺在床上看杂志。,wǒtǎngzàichuángshàngkānzázhì,https://www.chinese-tools.com/phrasebook/16-friends.html
Friends,"Oh, how nice. Sorry, I've got to go now.",那真好。对不起，我必须得走了。,nāzhēnhǎo duìbúqǐ wǒbìxūdézǒule,https://www.chinese-tools.com/phrasebook/16-friends.html
Friends,So do I. See you later. Keep in touch.,我也是，再见。记得联系哦。,wǒyěshì zàijiàn jìdéliánjìé,https://www.chinese-tools.com/phrasebook/16-friends.html
When did you ... ?,When did you get up yesterday morning?,你昨天早上几点起床？,nǐzuótiānzǎoshàngjīdiǎnqǐchuáng,https://www.chinese-tools.com/phrasebook/15-yesterday.html
When did you ... ?,At about seven.,七点左右。,qīdiǎnzuǒyòu,https://www.chinese-tools.com/phrasebook/15-yesterday.html
When did you ... ?,"I heard the clock, but I didn't get up until 9.",我听见闹钟了，但我捱到九点才起。,wǒtīngjiànnàozhōngle dànwǒāidàojiǔdiǎncáiqǐ,https://www.chinese-tools.com/phrasebook/15-yesterday.html
When did you ... ?,I woke up seven and got up right away.,我七点醒了，然后马上起床了。,wǒqīdiǎnxǐngle ránhòumǎshàngqǐchuángle,https://www.chinese-tools.com/phrasebook/15-yesterday.html
When did you ... ?,I hurried to my office.,我匆忙赶到办公室。,wǒcōngmánggǎndàobàngōngshì,https://www.chinese-tools.com/phrasebook/15-yesterday.html
When did you ... ?,I had my breakfast on the way.,我在路上吃的早饭。,wǒzàilùshàngchīdezǎofàn,https://www.chinese-tools.com/phrasebook/15-yesterday.html
When did you ... ?,I was just on time.,我刚好赶上。,wǒgānghǎogǎnshàng,https://www.chinese-tools.com/phrasebook/15-yesterday.html
When did you ... ?,I was 10 minutes late,我迟到了五分钟。,wǒchídàolewǔfēnzhōng,https://www.chinese-tools.com/phrasebook/15-yesterday.html
When did you ... ?,I had lunch with a friend of mine.,我和我的一个朋友一块吃了午饭。,wǒhéwǒdeyīgěpéngyǒuyīkuàichīlewǔfàn,https://www.chinese-tools.com/phrasebook/15-yesterday.html
When did you ... ?,I finished my work at 6 p.m.,下午6点我下班了。,xiàwǔ diǎnwǒxiàbānle,https://www.chinese-tools.com/phrasebook/15-yesterday.html
When did you ... ?,I stayed and did some extra work.,我留下加了一会儿班。,wǒliúxiàjiāleyīhuìérbān,https://www.chinese-tools.com/phrasebook/15-yesterday.html
When did you ... ?,"The TV programs were really boring, so I went to bed very early.",电视节目很无聊，所以我早早睡了。,diànshìjiēmùhěnmóliáo suǒyǐwǒzǎozǎoshuìle,https://www.chinese-tools.com/phrasebook/15-yesterday.html
When did you ... ?,I read a magazine in bed.,我躺在床上看杂志。,wǒtǎngzàichuángshàngkānzázhì,https://www.chinese-tools.com/phrasebook/15-yesterday.html
When did you ... ?,I didn't sleep well. .,我没睡好。,wǒméishuìhǎo,https://www.chinese-tools.com/phrasebook/15-yesterday.html
When did you ... ?,I slept soundly all night,我整夜睡的很熟。,wǒzhěngyèshuìdehěnshóu,https://www.chinese-tools.com/phrasebook/15-yesterday.html
When? What time?,When do you get up everyday?,每天你几点起床？,měitiānnǐjīdiǎnqǐchuáng,https://www.chinese-tools.com/phrasebook/14-daily.html
When? What time?,I usually get up at 8 o'clock.,我通常8点起床。,wǒtōngcháng diǎnqǐchuáng,https://www.chinese-tools.com/phrasebook/14-daily.html
When? What time?,Where do you have your lunch?,你在哪儿吃午饭？,nǐzàinǎérchīwǔfàn,https://www.chinese-tools.com/phrasebook/14-daily.html
When? What time?,I have my lunch in a snack bar nearby.,我在附近一家快餐店吃午饭。,wǒzàifùjìnyījiākuàicāndiànchīwǔfàn,https://www.chinese-tools.com/phrasebook/14-daily.html
When? What time?,What did you have for lunch?,你中午吃些什么？,nǐzhōngwǔchīxiēshénma,https://www.chinese-tools.com/phrasebook/14-daily.html
When? What time?,I had a hamburger and a fried chicken leg?,我吃一个汉堡包，一个炸鸡腿。,wǒchīyīgěhànbǎobāo yīgězhájītuǐ,https://www.chinese-tools.com/phrasebook/14-daily.html
When? What time?,What time do you start work?,你什么时候开始工作？,nǐshénmashíhòukāishǐgōngzuō,https://www.chinese-tools.com/phrasebook/14-daily.html
When? What time?,I start work at 8 o'clock.,我八点开始工作。,wǒbādiǎnkāishǐgōngzuō,https://www.chinese-tools.com/phrasebook/14-daily.html
When? What time?,What do you do at work?,你上班干些什么？,nǐshàngbāngānxiēshénma,https://www.chinese-tools.com/phrasebook/14-daily.html
When? What time?,I answer telephones and do some typing.,我接电话和打字。,wǒjiēdiànhuàhédázì,https://www.chinese-tools.com/phrasebook/14-daily.html
When? What time?,What time do you finish your work?,你什么时候下班？,nǐshénmashíhòuxiàbān,https://www.chinese-tools.com/phrasebook/14-daily.html
When? What time?,At 6 o'clock sharp.,六点。,liùdiǎn,https://www.chinese-tools.com/phrasebook/14-daily.html
When? What time?,What do you do in your spare time?,闲暇时，你干些什么？,xiánxiáshí nǐgānxiēshénma,https://www.chinese-tools.com/phrasebook/14-daily.html
When? What time?,I like listening to pop music.,我喜欢听流行音乐。,wǒxǐhuāntīngliúhángyīnlè,https://www.chinese-tools.com/phrasebook/14-daily.html
When? What time?,I like playing football.,我喜欢踢足球。,wǒxǐhuāntīzúqiú,https://www.chinese-tools.com/phrasebook/14-daily.html
How old are you?,How old are you?,你多大了？,nǐduōdàle,https://www.chinese-tools.com/phrasebook/13-age.html
How old are you?,I'm twenty-two (years old).,我二十二了。,wǒèrshíèrle,https://www.chinese-tools.com/phrasebook/13-age.html
How old are you?,Mr. Smith is still in his forties.,史密斯先生才四十几岁。,shǐmìsīxiānshēngcáisìshíjīsuì,https://www.chinese-tools.com/phrasebook/13-age.html
How old are you?,I'm two years younger than my sister.,我比我姐小两岁。,wǒbǐwǒjiěxiǎoliǎngsuì,https://www.chinese-tools.com/phrasebook/13-age.html
How old are you?,My elder sister is one year older than her husband.,我姐比他丈夫大一岁。,wǒjiěbǐtāzhàngfūdàyīsuì,https://www.chinese-tools.com/phrasebook/13-age.html
How old are you?,He's the youngest in the family.,他是一家中最小的。,tāshìyījiāzhōngzuìxiǎode,https://www.chinese-tools.com/phrasebook/13-age.html
How old are you?,He looks much younger than he is.,他看起来比他实际上年轻得多。,tākānqǐláibǐtāshíjìshàngniánqīngdéduō,https://www.chinese-tools.com/phrasebook/13-age.html
How old are you?,I came here when I was 20.,我二十岁来这儿。,wǒèrshísuìláizhèér,https://www.chinese-tools.com/phrasebook/13-age.html
How old are you?,I started school at the age of 6.,我六岁开始上学。,wǒliùsuìkāishǐshàngxué,https://www.chinese-tools.com/phrasebook/13-age.html
How old are you?,My father is over 60 years old.,我父亲已年过六十了。,wǒfǔqīnyǐniánguōliùshíle,https://www.chinese-tools.com/phrasebook/13-age.html
How old are you?,Most of them are less than 30.,他们中大多数不到3岁。,tāmenzhōngdàduōshǔbúdàoluesuì,https://www.chinese-tools.com/phrasebook/13-age.html
How old are you?,I guess he's about 30.,我猜他大概3岁。,wǒcāitādàgàiluesuì,https://www.chinese-tools.com/phrasebook/13-age.html
How old are you?,She's going to be 15 next month.,下个月她就满15了。,xiàgěyuètājiùmǎn  le,https://www.chinese-tools.com/phrasebook/13-age.html
How old are you?,They'll have a party for their 10th wedding anniversary.,他们将为结婚十周年来个聚会。,tāmenjiāngwéijiēhūnshízhōuniánláigějùhuì,https://www.chinese-tools.com/phrasebook/13-age.html
How old are you?,He's still a boy after all.,他毕竟还只是个孩子。,tābìjìngháizhīshìgěháizǐ,https://www.chinese-tools.com/phrasebook/13-age.html
What are you doing?,What are you doing?,你在干什么？,nǐzàigānshénma,https://www.chinese-tools.com/phrasebook/12-activity.html
What are you doing?,I'm reading a book.,今天星期一。,jīntiānxīngjīyī,https://www.chinese-tools.com/phrasebook/12-activity.html
What are you doing?,I'm cooking.,我在做饭。,wǒzàizuòfàn,https://www.chinese-tools.com/phrasebook/12-activity.html
What are you doing?,Are you watching TV now?,你在看电视吗？,nǐzàikāndiànshìmá,https://www.chinese-tools.com/phrasebook/12-activity.html
What are you doing?,"Yes, I'm watching Channel 5.",是的，我在看5频道。,shìde wǒzàikān píndào,https://www.chinese-tools.com/phrasebook/12-activity.html
What are you doing?,"No, I'm listening to the radio.",没有，我在听收音机。,méiyǒu wǒzàitīngshōuyīnjī,https://www.chinese-tools.com/phrasebook/12-activity.html
What are you doing?,Where are you going?,你去哪儿？,nǐqùnǎér,https://www.chinese-tools.com/phrasebook/12-activity.html
What are you doing?,I'm going to work,我去上班。,wǒqùshàngbān,https://www.chinese-tools.com/phrasebook/12-activity.html
What are you doing?,Who are you writing to?,你在给谁写信？,nǐzàigěishéixiěxìn,https://www.chinese-tools.com/phrasebook/12-activity.html
What are you doing?,I'm writing to an old friend.,给一个老朋友。,gěiyīgělǎopéngyǒu,https://www.chinese-tools.com/phrasebook/12-activity.html
What are you doing?,What will you do this weekend?,这周末你将干什么？,zhèzhōumònǐjiānggānshénma,https://www.chinese-tools.com/phrasebook/12-activity.html
What are you doing?,I'll go to a concert.,我要去听音乐会。,wǒyāoqùtīngyīnlèhuì,https://www.chinese-tools.com/phrasebook/12-activity.html
What are you doing?,I'll go on an outing with some friends.,我与朋友去郊游。,wǒyúpéngyǒuqùjiāoyóu,https://www.chinese-tools.com/phrasebook/12-activity.html
What are you doing?,Do you like traveling?,你喜欢郊游吗？,nǐxǐhuānjiāoyóumá,https://www.chinese-tools.com/phrasebook/12-activity.html
What are you doing?,"Yes, I like it a great deal/it very much.",是的，我很喜欢。,shìde wǒhěnxǐhuān,https://www.chinese-tools.com/phrasebook/12-activity.html
Do you speak English?,Do you speak English?,你会说英语吗？,nǐhuìshuōyīngyǔmá,https://www.chinese-tools.com/phrasebook/11-language.html
Do you speak English?,"Yes, a little.",会讲一点。,huìjiǎngyīdiǎn,https://www.chinese-tools.com/phrasebook/11-language.html
Do you speak English?,How long have you studied English?,你学英语多久了？,nǐxuéyīngyǔduōjiǔle,https://www.chinese-tools.com/phrasebook/11-language.html
Do you speak English?,He speaks English fluently.,他讲英语很流利。,tājiǎngyīngyǔhěnliúlì,https://www.chinese-tools.com/phrasebook/11-language.html
Do you speak English?,Your English is very good.,你的英语很好。,nǐdeyīngyǔhěnhǎo,https://www.chinese-tools.com/phrasebook/11-language.html
Do you speak English?,You speak English very well.,你的英语讲的很好。,nǐdeyīngyǔjiǎngdehěnhǎo,https://www.chinese-tools.com/phrasebook/11-language.html
Do you speak English?,Are you a native speaker of English?,你的母语是英语吗？,nǐdemǔyǔshìyīngyǔmá,https://www.chinese-tools.com/phrasebook/11-language.html
Do you speak English?,My native language is Chinese.,我的母语是汉语。,wǒdemǔyǔshìhànyǔ,https://www.chinese-tools.com/phrasebook/11-language.html
Do you speak English?,He speaks with London accent.,他带点伦敦口音。,tādàidiǎnlúnduìkǒuyīn,https://www.chinese-tools.com/phrasebook/11-language.html
Do you speak English?,He has a strong accent.,他口音很重。,tākǒuyīnhěnzhòng,https://www.chinese-tools.com/phrasebook/11-language.html
